Date,Product,Region,Sales,Profit_Margin
2025-01-01,Cloud Subscription,Asia Pacific,13338.0,33.488149420697276
2025-01-02,Cloud Subscription,North America,32576.0,39.678678717880274
2025-01-03,Quantum Chip,North America,33202.0,10.854400054752112
2025-01-04,Cloud Subscription,Asia Pacific,23498.0,33.55003104665849
2025-01-05,AI Server,Asia Pacific,38394.0,38.247064340660216
2025-01-06,Cloud Subscription,North America,25593.0,23.59522385896789
2025-01-07,Quantum Chip,Asia Pacific,26240.0,43.64849931194447
2025-01-08,Quantum Chip,Europe,32989.0,44.156595829429115
2025-01-09,Quantum Chip,Asia Pacific,13063.0,42.77695869325592
2025-01-10,VR Headset,Europe,13913.0,34.19672156356027
2025-01-11,Cloud Subscription,Europe,40718.0,20.994705005804107
2025-01-12,AI Server,North America,74040.0,19.582309457735178
2025-01-13,Cloud Subscription,Europe,23931.0,26.496681237051664
2025-01-14,AI Server,Europe,13732.5,28.996744683698466
2025-01-15,Cloud Subscription,Asia Pacific,10483.0,13.037081345105555
2025-01-16,Cloud Subscription,North America,36578.0,20.071455381620872
2025-01-17,Cloud Subscription,North America,32488.0,35.19395528855024
2025-01-18,Quantum Chip,North America,37325.0,14.479303785478924
2025-01-19,Cloud Subscription,North America,35432.0,24.91520893848662
2025-01-20,Quantum Chip,Europe,17699.0,24.410783554647658
2025-01-21,AI Server,North America,67704.0,18.478132357431377
2025-01-22,Cloud Subscription,Europe,20694.0,23.97330305540376
2025-01-23,VR Headset,Asia Pacific,20798.0,21.547866822351697
2025-01-24,AI Server,Europe,30354.0,32.60927590536488
2025-01-25,VR Headset,Europe,5815.0,30.465293889310903
2025-01-26,VR Headset,Asia Pacific,22921.0,33.177663290151244
2025-01-27,Quantum Chip,North America,47482.0,31.072202814645664
2025-01-28,AI Server,Asia Pacific,41167.5,18.18175447817014
2025-01-29,Quantum Chip,North America,34624.0,43.714149794085195
2025-01-30,AI Server,Europe,72673.5,22.57812980813641
2025-01-31,VR Headset,Asia Pacific,43219.0,40.65349943984999
2025-02-01,Quantum Chip,Asia Pacific,11604.0,18.623530985870197
2025-02-02,Cloud Subscription,North America,45681.0,14.179376421228246
2025-02-03,Quantum Chip,North America,37775.0,26.25213129661785
2025-02-04,Quantum Chip,Asia Pacific,11827.0,40.166634610623575
2025-02-05,AI Server,Asia Pacific,35185.5,23.680388005073425
2025-02-06,VR Headset,Asia Pacific,33800.0,41.98751229873055
2025-02-07,AI Server,Asia Pacific,51694.5,26.529768941665047
2025-02-08,Cloud Subscription,North America,43755.0,34.485474534957454
2025-02-09,AI Server,Asia Pacific,57948.0,39.401426785986104
2025-02-10,Quantum Chip,North America,45029.0,44.504708656719714
2025-02-11,AI Server,North America,66346.5,32.31575562864646
2025-02-12,Cloud Subscription,Europe,16249.0,43.409695009852605
2025-02-13,Quantum Chip,Asia Pacific,18381.0,21.71912681538992
2025-02-14,VR Headset,Europe,37457.0,24.396703996100698
2025-02-15,VR Headset,Europe,42922.0,16.93844896176492
2025-02-16,Quantum Chip,North America,16793.0,13.307499755930854
2025-02-17,Cloud Subscription,Asia Pacific,26871.0,41.60375047442783
2025-02-18,Cloud Subscription,Asia Pacific,29228.0,12.56570294065881
2025-02-19,VR Headset,Europe,49505.0,13.3349719529254
2025-02-20,Cloud Subscription,Asia Pacific,41894.0,17.928715255081364
2025-02-21,AI Server,Europe,44685.0,21.908414303616283
2025-02-22,VR Headset,Asia Pacific,24401.0,40.57835119058639
2025-02-23,AI Server,Europe,31242.0,21.73054864437968
2025-02-24,AI Server,Europe,52077.0,20.146010430591122
2025-02-25,Cloud Subscription,Europe,16393.0,11.001065052174107
2025-02-26,Cloud Subscription,North America,29622.0,44.11773518055804
2025-02-27,AI Server,North America,52662.0,32.55678184640624
2025-02-28,Cloud Subscription,Asia Pacific,17826.0,20.247214907177437
2025-03-01,Cloud Subscription,North America,16236.0,33.87609848493314
2025-03-02,AI Server,Asia Pacific,69133.5,14.315084354764505
2025-03-03,AI Server,North America,9688.5,43.21656728852534
2025-03-04,Cloud Subscription,Europe,12049.0,24.935784759313854
2025-03-05,Cloud Subscription,Asia Pacific,39026.0,20.196980782094794
2025-03-06,VR Headset,Europe,38180.0,15.619760303492562
2025-03-07,VR Headset,Europe,23511.0,10.11647557630436
2025-03-08,VR Headset,Asia Pacific,17049.0,40.28838424096221
2025-03-09,Cloud Subscription,North America,18682.0,23.404205761635716
2025-03-10,AI Server,Asia Pacific,34024.5,29.265498811518558
2025-03-11,VR Headset,North America,15107.0,36.354280783400625
2025-03-12,VR Headset,Asia Pacific,25573.0,22.011066686725687
2025-03-13,Quantum Chip,North America,40427.0,28.734911388628923
2025-03-14,AI Server,North America,54390.0,31.090359307349022
2025-03-15,AI Server,North America,31639.5,39.15688726339846
2025-03-16,VR Headset,Asia Pacific,48543.0,42.96909484231371
2025-03-17,Cloud Subscription,Europe,10126.0,24.169315689699637
